Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.397,205.397,screen dark,29.129566857599997
0,205.397,205.397,wifi running,0.41377225649999994
0.606,205.397,204.791,audio,33.00411756
0.606,1.145,0.539,audio,0.08686524000000001
7.912,205.397,197.48499999999999,audio,31.826682599999998
7.912,18.114,10.202000000000002,audio,1.6441543200000002
45.966,205.397,159.43099999999998,audio,25.693899959999996
45.966,81.755,35.788999999999994,audio,5.767755239999999

