Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.35399999999998,205.35399999999998,screen dark,29.123468563199996
0,205.35399999999998,205.35399999999998,wifi running,0.41368563299999994
0.556,205.35399999999998,204.79799999999997,audio,33.005245679999994
0.556,1.176,0.6199999999999999,audio,0.09991919999999999
7.03,205.35399999999998,198.32399999999998,audio,31.961895839999997
7.03,67.491,60.461,audio,9.74389476
83.47200000000001,205.35399999999998,121.88199999999998,audio,19.642503119999997

