Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.376,200.376,screen dark,29.623587840000006
0,0.459,0.459,wifi running,0.0009639000000000002
0.459,2.846,2.387,wifi scan,0.4411176
2.846,200.376,197.53,wifi running,0.41481300000000004
2.132,200.376,198.244,audio,33.304992
2.132,2.846,0.714,audio,0.119952
4.445,200.376,195.931,audio,32.916408000000004
4.445,14.907,10.462,audio,1.757616
16.589,200.376,183.787,audio,30.876216000000003
16.589,27.436,10.847000000000001,audio,1.8222960000000004
29.438,200.376,170.93800000000002,audio,28.717584000000006
29.438,40.667,11.229000000000003,audio,1.8864720000000006
41.721,200.376,158.655,audio,26.654040000000002
41.721,66.247,24.526000000000003,audio,4.120368000000001
68.326,200.376,132.05,audio,22.184400000000004
68.326,200.376,132.05,video,72.09930000000001

