Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.34199999999998,200.34199999999998,screen dark,29.61856128
0,0.451,0.451,wifi running,0.0009471000000000002
0.451,3.18,2.729,wifi scan,0.5043192
3.18,200.34199999999998,197.16199999999998,wifi running,0.4140402
3.18,200.34199999999998,197.16199999999998,audio,33.123216
3.18,15.449,12.269,audio,2.061192
17.119,200.34199999999998,183.22299999999998,audio,30.781464
17.119,27.509,10.39,audio,1.7455200000000002
28.857,200.34199999999998,171.48499999999999,audio,28.80948
28.857,40.189,11.332,audio,1.9037760000000001
41.543,200.34199999999998,158.79899999999998,audio,26.678231999999998
41.543,52.849,11.305999999999997,audio,1.8994079999999998
54.434,200.34199999999998,145.908,audio,24.512544
54.434,66.429,11.995000000000005,audio,2.0151600000000007
68.291,200.34199999999998,132.051,audio,22.184568

