Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,199.876,199.876,screen dark,29.549667840000005
0,0.217,0.217,wifi running,0.00045570000000000007
0.217,3.102,2.885,wifi scan,0.533148
3.102,199.876,196.774,wifi running,0.4132254000000001
3.102,199.876,196.774,audio,33.058032000000004
3.102,15.458,12.356,audio,2.0758080000000003
17.115,199.876,182.761,audio,30.703848
17.115,27.087,9.972000000000001,audio,1.6752960000000003
28.994,199.876,170.882,audio,28.708176
28.994,39.919,10.924999999999997,audio,1.8353999999999997
41.105,199.876,158.77100000000002,audio,26.673528000000005
41.105,53.296,12.191000000000003,audio,2.0480880000000004
54.978,199.876,144.898,audio,24.342864000000002
54.978,65.146,10.168,audio,1.708224
67.635,199.876,132.24099999999999,audio,22.216488
67.635,78.356,10.72099999999999,audio,1.8011279999999983
79.935,199.876,119.941,audio,20.150088
79.935,171.862,91.92699999999999,audio,15.443736
173.299,199.876,26.576999999999998,audio,4.464936

