Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.149,205.149,screen dark,29.0943952992
0,205.149,205.149,wifi running,0.41327266049999994
2.952,205.149,202.197,audio,32.58606852
2.952,13.177,10.225,audio,1.647861
21.054,205.149,184.095,audio,29.668750199999998
21.054,56.571,35.516999999999996,audio,5.72391972

