Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.38400000000001,205.38400000000001,screen dark,29.1277231872
0,205.38400000000001,205.38400000000001,wifi running,0.41374606799999997
0,205.38400000000001,205.38400000000001,audio,33.09968544
0,0.402,0.402,audio,0.06478632000000001
2.797,205.38400000000001,202.58700000000002,audio,32.64892092
2.797,13.057,10.26,audio,1.6535016
20.064,205.38400000000001,185.32000000000002,audio,29.866171200000004
20.064,56.525,36.461,audio,5.87605476

