"app","web"
184.464,159.54696
161.784,155.3112
163.296,155.3112
166.32,156.72312
161.784,158.13504
152.712,160.95888
161.784,155.3112
161.784,158.13504
163.296,159.54696
163.296,159.54696
161.784,158.13504
149.9904,163.78272
166.32,160.95888
123.6816,168.01848
166.32,163.78272
151.2,159.54696
160.272,160.95888
163.296,163.78272
161.784,155.3112
161.784,160.95888
121.8672,151.07544
140.4648,194.84496
104.328,118.742472
181.44,110.412144
185.976,108.294264
111.2832,112.388832
161.784,189.19728
120.3552,115.918632
160.272,112.9536
150.2928,115.918632
163.296,111.54168
155.736,112.812408
175.392,120.860352
170.856,108.576648
170.856,112.388832
164.808,113.800752
135.4752,133.144056
152.712,120.71916
120.8088,114.083136
182.952,110.976912
187.488,151.07544
193.536,148.2516
192.024,152.48736
187.488,149.66352
92.988,140.344848
193.536,149.66352
189,146.83968
193.536,159.54696
196.56,151.07544
192.024,149.66352
192.024,148.2516
193.536,155.3112
184.464,149.66352
195.048,144.01584
192.024,149.66352
192.024,149.66352
193.536,149.66352
193.536,148.2516
192.024,153.89928
193.536,148.2516
100.6992,134.273592
99.792,145.42776
154.224,152.48736
160.272,148.2516
100.8504,158.13504
108.864,162.3708
108.4104,145.42776
166.32,221.67144
94.6512,220.25952
108.4104,160.95888
107.6544,158.13504
110.6784,252.73368
109.3176,210.37608
107.2008,245.67408
106.7472,264.02904
108.108,247.086
106.8984,214.61184
110.2248,241.43832
107.8056,187.78536
109.4688,266.85288
103.572,133.285248
109.7712,122.83704
189,135.826704
112.7952,136.109088
179.928,134.414784
100.2456,136.815048
98.5824,137.379816
110.6784,134.979552
120.3552,133.850016
136.6848,136.532664
184.464,142.60392
133.9632,137.379816
158.76,138.791736
126.1008,136.391472
115.5168,131.590944
120.204,138.650544
122.9256,136.673856
131.9976,135.54432
106.4448,138.509352
125.0424,133.002864
