"app","web"
104.251212,125.298432
102.88944,122.282496
103.040748,116.387712
107.731296,115.976448
102.88944,120.63744
103.192056,119.26656
105.461676,122.00832
106.369524,118.718208
104.251212,120.226176
102.586824,116.113536
103.64598,122.69376
101.37636,113.508864
102.284208,122.419584
103.948596,113.78304
101.830284,115.565184
102.586824,116.113536
103.040748,121.597056
105.007752,114.057216
98.501508,122.145408
104.705136,115.702272
106.67214,149.42592
106.67214,146.68416
106.520832,139.82976
108.94176,150.7968
108.790452,149.42592
107.42868,145.31328
104.705136,146.68416
107.277372,149.42592
107.882604,150.7968
107.882604,150.7968
107.882604,149.42592
106.369524,145.31328
106.823448,146.68416
108.790452,143.9424
105.15906,146.68416
107.126064,149.42592
109.546992,148.05504
107.731296,143.9424
108.639144,154.90944
106.520832,149.42592
97.896276,223.45344
98.198892,226.1952
94.870116,237.16224
96.685812,227.56608
96.383196,227.56608
95.777964,226.1952
97.139736,226.1952
96.08058,227.56608
96.231888,228.93696
96.383196,228.93696
96.83712,228.93696
98.047584,228.93696
95.777964,228.93696
96.534504,228.93696
97.442352,228.93696
99.86328,235.79136
96.534504,235.79136
96.534504,226.1952
95.929272,228.93696
97.59366,231.67872
104.099904,114.879744
103.948596,120.63744
104.553828,115.565184
105.310368,124.338816
104.553828,116.113536
104.099904,123.242112
104.40252,115.565184
103.343364,118.58112
104.099904,122.145408
106.066908,123.242112
105.15906,122.967936
105.612984,115.565184
104.099904,113.920128
105.9156,114.879744
112.573152,125.709696
105.612984,121.32288
106.218216,121.459968
105.007752,124.475904
103.040748,117.484416
105.9156,119.403648
101.678976,152.16768
101.527668,153.53856
100.317204,141.20064
100.468512,142.57152
100.771128,146.68416
103.343364,145.31328
102.88944,150.7968
100.61982,148.05504
99.711972,146.68416
101.678976,150.7968
101.37636,142.57152
101.073744,148.05504
99.86328,148.05504
100.61982,143.9424
101.527668,150.7968
99.711972,150.7968
100.922436,150.7968
104.705136,154.90944
101.527668,152.16768
101.073744,146.68416
