"app","web"
162.1224,156.7944
147.384,158.3316
148.85784,164.4804
160.64856,156.7944
148.85784,167.5548
145.17324,170.6292
147.384,162.9432
142.667712,166.0176
143.846784,166.0176
143.994168,166.0176
159.17472,164.4804
159.17472,159.8688
146.794464,159.8688
146.794464,166.0176
157.70088,159.8688
147.384,164.4804
159.17472,166.0176
157.70088,169.092
159.17472,164.4804
160.64856,161.406
118.938888,155.2572
117.612432,147.72492
98.599896,144.4968
98.74728,148.3398
117.022896,144.4968
111.127536,148.03236
114.812136,148.18608
101.69496,149.877
114.95952,181.3896
113.190912,181.3896
112.896144,179.8524
108.622008,182.9268
108.622008,122.66856
106.706016,121.74624
123.655176,118.21068
114.369984,120.05532
112.896144,127.28016
113.338296,121.74624
110.095848,118.67184
113.043528,130.662
196.02072,167.5548
194.54688,166.0176
191.5992,173.7036
193.07304,167.5548
191.5992,169.092
191.5992,169.092
191.5992,164.4804
194.54688,162.9432
191.5992,167.5548
190.12536,169.092
194.54688,166.0176
191.5992,164.4804
193.07304,164.4804
194.54688,164.4804
193.07304,159.8688
193.07304,167.5548
191.5992,166.0176
190.12536,173.7036
193.07304,167.5548
193.07304,159.8688
141.341256,159.8688
101.105424,158.3316
99.778968,182.9268
97.27344,145.72656
170.96544,142.80588
172.43928,146.64888
170.96544,149.877
166.54392,247.4892
109.506312,224.4312
107.885088,221.3568
112.453992,164.4804
111.717072,233.6544
169.4916,192.15
110.685384,187.5384
166.54392,264.3984
111.569688,202.9104
109.948464,272.0844
108.916776,249.0264
106.558632,252.1008
106.11648,241.3404
119.086272,144.65052
122.32872,149.1084
121.739184,143.11332
123.06564,148.95468
119.970576,147.26376
120.11796,147.41748
120.412728,146.95632
121.739184,147.72492
121.444416,156.7944
122.32872,148.80096
119.823192,153.72
120.560112,141.11496
118.938888,143.42076
120.11796,145.2654
122.623488,151.10676
120.412728,153.25884
120.560112,148.64724
120.560112,142.03728
120.265344,146.34144
124.392096,143.88192
