Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.191,205.191,screen dark,28.327520390400004
0,33.077,33.077,wifi running,0.06486399699999999
33.077,34.787,1.7100000000000009,wifi scan,0.2950912800000001
34.787,205.191,170.404,wifi running,0.334162244
0,205.191,205.191,audio,32.19036408
0,0.382,0.382,audio,0.05992816000000001
33.077,205.191,172.114,audio,27.001244320000005
33.077,43.641,10.564,audio,1.6572803200000001
44.804,205.191,160.387,audio,25.161512560000002
44.804,71.0,26.195999999999998,audio,4.1096284800000005

