Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.482,205.482,screen dark,28.367694220800004
0,32.797,32.797,wifi running,0.064314917
32.797,35.798,3.0010000000000048,wifi scan,0.5178765680000008
35.798,205.482,169.684,wifi running,0.332750324
32.797,205.482,172.685,audio,27.090822800000005
32.797,42.828,10.031000000000006,audio,1.5736632800000012
45.637,205.482,159.845,audio,25.076483600000003
45.637,70.957,25.319999999999993,audio,3.9722015999999996

