Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.524,205.524,screen dark,28.373492505600005
0,33.211,33.211,wifi running,0.065126771
33.211,35.472,2.261000000000003,wifi scan,0.3901762480000005
35.472,205.524,170.052,wifi running,0.333471972
0,205.524,205.524,audio,32.24260512000001
0,0.354,0.354,audio,0.055535520000000005
33.211,205.524,172.313,audio,27.03246344
33.211,43.419,10.207999999999998,audio,1.60143104
45.337,205.524,160.187,audio,25.130136560000004
45.337,70.639,25.301999999999992,audio,3.9693777599999995

