Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.335,205.335,screen dark,28.347400224000005
0,33.529,33.529,wifi running,0.065750369
33.529,36.04,2.5109999999999957,wifi scan,0.43331824799999924
36.04,205.335,169.29500000000002,wifi running,0.331987495
0,205.335,205.335,audio,32.212954800000006
0,0.359,0.359,audio,0.05631992
32.524,205.335,172.811,audio,27.110589680000004
32.524,43.714,11.189999999999998,audio,1.7554872
45.738,205.335,159.597,audio,25.037577360000004
45.738,71.055,25.317000000000007,audio,3.9717309600000017

