Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,199.692,199.692,screen dark,29.522465280000006
0,199.692,199.692,wifi running,0.4193532000000001
40.861,199.692,158.83100000000002,audio,26.683608000000003
40.861,66.408,25.547000000000004,audio,4.291896000000001
78.075,199.692,121.617,audio,20.431656
78.075,106.519,28.444000000000003,audio,4.778592000000001
106.596,199.692,93.096,audio,15.640128
106.596,135.078,28.482,audio,4.784976
135.157,199.692,64.535,audio,10.84188
135.157,163.638,28.480999999999995,audio,4.784807999999999

