Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.40800000000002,200.40800000000002,screen dark,28.880556390400002
0,1.8159999999999998,1.8159999999999998,wifi running,0.003717352
1.8159999999999998,3.914,2.0980000000000003,wifi scan,0.37792532800000006
3.914,200.40800000000002,196.49400000000003,wifi running,0.4022232180000001
3.914,200.40800000000002,196.49400000000003,audio,32.17785744000001
3.914,15.413,11.499,audio,1.8830762400000003
17.175,200.40800000000002,183.233,audio,30.006236080000004
17.175,28.032,10.857,audio,1.77794232
29.756,200.40800000000002,170.65200000000002,audio,27.945971520000004
29.756,40.113,10.357,audio,1.69606232
41.584,200.40800000000002,158.824,audio,26.009018240000003
41.584,52.504,10.919999999999995,audio,1.7882591999999993
55.181,200.40800000000002,145.22700000000003,audio,23.782373520000007
55.181,65.473,10.292000000000002,audio,1.6854179200000003
67.171,200.40800000000002,133.23700000000002,audio,21.818891120000007
67.171,79.013,11.841999999999999,audio,1.93924592
80.995,200.40800000000002,119.41300000000001,audio,19.555072880000004

