Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.297,200.297,screen dark,28.864560313600002
0,1.8940000000000001,1.8940000000000001,wifi running,0.0038770180000000007
1.8940000000000001,4.665,2.771,wifi scan,0.499156856
4.665,200.297,195.632,wifi running,0.40045870400000005
2.948,200.297,197.349,audio,32.31787224
2.948,15.124,12.176,audio,1.9939417600000002
16.923000000000002,200.297,183.374,audio,30.029326240000003
16.923000000000002,27.366,10.442999999999998,audio,1.71014568
28.443,200.297,171.85399999999998,audio,28.14281104
28.443,40.065,11.621999999999996,audio,1.9032187199999997
41.62,200.297,158.677,audio,25.98494552
41.62,53.167,11.547000000000004,audio,1.890936720000001
54.963,200.297,145.334,audio,23.79989584
54.963,65.224,10.261000000000003,audio,1.6803413600000006
66.889,200.297,133.40800000000002,audio,21.846894080000006
66.889,78.588,11.698999999999998,audio,1.91582824
80.983,200.297,119.314,audio,19.53886064

