Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.421,200.421,screen dark,28.8824298048
0,1.807,1.807,wifi running,0.003698929
1.807,3.717,1.9100000000000001,wifi scan,0.34405976
3.717,200.421,196.70399999999998,wifi running,0.402653088
3.717,200.421,196.70399999999998,audio,32.21224704
3.717,15.377,11.66,audio,1.9094416000000003
17.038,200.421,183.38299999999998,audio,30.03080008
17.038,27.414,10.376000000000001,audio,1.6991737600000003
29.073,200.421,171.34799999999998,audio,28.05994848
29.073,40.694,11.621000000000002,audio,1.9030549600000006
42.432,200.421,157.98899999999998,audio,25.872278639999998
42.432,52.794,10.361999999999995,audio,1.6968811199999994
53.838,200.421,146.583,audio,24.00443208
53.838,65.275,11.437000000000005,audio,1.872923120000001
66.253,200.421,134.168,audio,21.971351680000005
66.253,78.894,12.641000000000005,audio,2.0700901600000012
80.563,200.421,119.85799999999999,audio,19.62794608

