Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.28300000000002,200.28300000000002,screen dark,28.862542790400003
0,1.833,1.833,wifi running,0.0037521510000000004
1.833,3.999,2.1660000000000004,wifi scan,0.39017457600000005
3.999,200.28300000000002,196.28400000000002,wifi running,0.4017933480000001
3.999,200.28300000000002,196.28400000000002,audio,32.14346784000001
3.999,15.257,11.258,audio,1.8436100800000002
17.017,200.28300000000002,183.26600000000002,audio,30.011640160000006
17.017,28.198,11.181000000000001,audio,1.8310005600000003
29.895,200.28300000000002,170.388,audio,27.902738880000005
29.895,40.737,10.842000000000002,audio,1.7754859200000006
41.948,200.28300000000002,158.335,audio,25.928939600000003
41.948,51.973,10.024999999999999,audio,1.641694
54.695,200.28300000000002,145.58800000000002,audio,23.841490880000006
54.695,78.396,23.701,audio,3.8812757600000003
80.387,200.28300000000002,119.89600000000002,audio,19.634168960000004

