Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.421,200.421,screen dark,29.7501725664
0,0.249,0.249,wifi running,0.0005250165
0.249,2.198,1.9489999999999998,wifi scan,0.3616330519999999
2.198,200.421,198.22299999999998,wifi running,0.41795319549999993
2.115,200.421,198.30599999999998,audio,33.450256079999996
2.115,2.198,0.08299999999999974,audio,0.014000439999999956
4.269,200.421,196.152,audio,33.086919359999996
4.269,15.464,11.195,audio,1.8883726
17.18,200.421,183.24099999999999,audio,30.90909188
17.18,27.521,10.341000000000001,audio,1.7443198800000002
29.083,200.421,171.338,audio,28.901293839999997
29.083,40.409,11.326,audio,1.91046968
42.36,200.421,158.06099999999998,audio,26.661729479999995
42.36,52.324,9.963999999999999,audio,1.6807275199999998
54.38,200.421,146.041,audio,24.63419588
54.38,66.423,12.043,audio,2.03141324
68.161,200.421,132.26,audio,22.309616799999997

