Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.409,200.409,screen dark,29.7483913056
0,0.733,0.733,wifi running,0.0015455304999999998
0.733,3.038,2.3049999999999997,wifi scan,0.4276881399999999
3.038,200.409,197.37099999999998,wifi running,0.4161567534999999
1.457,200.409,198.952,audio,33.55922336
1.457,3.038,1.5809999999999997,audio,0.26668307999999996
4.736,200.409,195.673,audio,33.006121639999996
4.736,15.618,10.882000000000001,audio,1.8355757600000002
17.356,200.409,183.053,audio,30.87738004
17.356,27.657,10.300999999999998,audio,1.7375726799999998
29.276,200.409,171.13299999999998,audio,28.866714439999996
29.276,40.991,11.715,audio,1.9760862
42.776,200.409,157.63299999999998,audio,26.589534439999998
42.776,66.67699999999999,23.90099999999999,audio,4.031620679999998
68.516,200.409,131.89299999999997,audio,22.247711239999994

