Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.255,200.255,screen dark,29.725531791999998
0,0.923,0.923,wifi running,0.0019461454999999998
0.923,3.533,2.61,wifi scan,0.4842802799999999
3.533,200.255,196.722,wifi running,0.41478833699999995
2.063,200.255,198.192,audio,33.43102656
2.063,15.434,13.370999999999999,audio,2.2554202799999996
17.254,200.255,183.001,audio,30.86860868
17.254,27.371,10.116999999999997,audio,1.7065355599999996
28.931,200.255,171.32399999999998,audio,28.898932319999997
28.931,40.712,11.781000000000002,audio,1.9872190800000002
42.173,200.255,158.082,audio,26.66527176
42.173,65.771,23.598,audio,3.98051064
67.395,200.255,132.86,audio,22.4108248
67.395,78.331,10.936000000000007,audio,1.844684480000001
80.116,200.255,120.139,audio,20.26504652

