Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.613,205.613,screen dark,29.160200150399998
0,33.606,33.606,wifi running,0.067699287
33.606,36.069,2.463000000000001,wifi scan,0.43663078800000016
36.069,205.613,169.54399999999998,wifi running,0.3415463879999999
0,205.613,205.613,audio,33.13659108
0,0.977,0.977,audio,0.15745332
33.606,205.613,172.007,audio,27.72064812
33.606,43.858,10.251999999999995,audio,1.6522123199999992
46.063,205.613,159.55,audio,25.713078000000003
46.063,71.358,25.295,audio,4.0765422000000004

