Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.475,205.475,screen dark,29.140628879999998
0,33.14,33.14,wifi running,0.06676053
33.14,35.695,2.5549999999999997,wifi scan,0.4529401799999999
35.695,205.475,169.78,wifi running,0.34202181
0,205.475,205.475,audio,33.114351
0,0.385,0.385,audio,0.0620466
33.14,205.475,172.33499999999998,audio,27.773508599999996
33.14,43.809,10.668999999999997,audio,1.7194160399999996
45.027,205.475,160.44799999999998,audio,25.857799679999996
45.027,70.869,25.842,audio,4.164696719999999

