Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.383,205.383,screen dark,29.1275813664
0,33.688,33.688,wifi running,0.06786447599999999
33.688,36.189,2.5009999999999977,wifi scan,0.44336727599999953
36.189,205.383,169.19400000000002,wifi running,0.340841313
33.688,205.383,171.695,audio,27.6703662
33.688,43.915,10.226999999999997,audio,1.6481833199999996
45.571,205.383,159.812,audio,25.75530192
45.571,70.872,25.301000000000002,audio,4.07750916

