Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.425,205.425,screen dark,29.133537840000002
0,33.61,33.61,wifi running,0.06770734499999999
33.61,35.883,2.2730000000000032,wifi scan,0.40294834800000057
35.883,205.425,169.542,wifi running,0.34154235899999996
0,205.425,205.425,audio,33.106293
33.61,205.425,171.815,audio,27.689705399999998
33.61,43.833,10.222999999999999,audio,1.6475386799999998
45.629,205.425,159.79600000000002,audio,25.752723360000005
45.629,70.93,25.30100000000001,audio,4.077509160000002

