Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.483,205.483,screen dark,29.1417634464
0,32.924,32.924,wifi running,0.066325398
32.924,35.689,2.7650000000000006,wifi scan,0.4901681400000001
35.689,205.483,169.794,wifi running,0.342050013
0,205.483,205.483,audio,33.11564028
0,0.376,0.376,audio,0.060596159999999996
32.924,205.483,172.559,audio,27.809608439999998
32.924,43.687,10.762999999999998,audio,1.7345650799999996
45.663,205.483,159.82,audio,25.7565912
45.663,70.964,25.301000000000002,audio,4.07750916

