Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.323,205.323,screen dark,29.119072118400002
0,33.505,33.505,wifi running,0.0674958225
33.505,35.033,1.5279999999999987,wifi scan,0.27087772799999976
35.033,205.323,170.29000000000002,wifi running,0.343049205
33.505,205.323,171.818,audio,27.69018888
33.505,43.723,10.217999999999996,audio,1.6467328799999994
44.629,205.323,160.69400000000002,audio,25.89744504
44.629,70.861,26.232000000000006,audio,4.227549120000001

