Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.42000000000002,205.42000000000002,screen dark,30.87544768
0,33.707,33.707,wifi running,0.07196444499999999
33.707,35.78,2.0730000000000004,wifi scan,0.38947524
35.78,205.42000000000002,169.64000000000001,wifi running,0.3621814
33.707,205.42000000000002,171.71300000000002,audio,29.3285804
33.707,43.925,10.217999999999996,audio,1.745234399999999
45.803,205.42000000000002,159.61700000000002,audio,27.2625836
45.803,71.105,25.302000000000007,audio,4.321581600000001

