Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.353,205.353,screen dark,30.865377312
0,33.583,33.583,wifi running,0.07169970499999999
33.583,34.91,1.3269999999999982,wifi scan,0.2493167599999996
34.91,205.353,170.443,wifi running,0.36389580499999996
33.583,205.353,171.77,audio,29.338316
33.583,43.806,10.222999999999999,audio,1.7460883999999997
44.926,205.353,160.42700000000002,audio,27.4009316
44.926,71.108,26.182000000000002,audio,4.4718856

