Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.257,205.257,screen dark,30.850948128
0,33.943,33.943,wifi running,0.07246830499999998
33.943,36.397,2.4540000000000006,wifi scan,0.46105752000000005
36.397,205.257,168.86,wifi running,0.3605161
33.943,205.257,171.31400000000002,audio,29.2604312
33.943,44.164,10.221000000000004,audio,1.7457468000000005
46.51,205.257,158.747,audio,27.113987599999998
46.51,71.801,25.291000000000004,audio,4.3197028

