Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.465,200.465,screen dark,29.756703856
0,200.465,200.465,wifi running,0.42268045249999997
28.864,200.465,171.601,audio,28.94565668
28.864,38.94,10.075999999999997,audio,1.6996196799999994
40.973,200.465,159.49200000000002,audio,26.903110560000002
40.973,66.274,25.301000000000002,audio,4.26777268

