Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,205.451,205.451,screen dark,28.363414534400004
0,46.89,46.89,wifi running,0.09195129
46.89,49.57,2.6799999999999997,wifi scan,0.46248223999999993
49.57,205.451,155.881,wifi running,0.30568264100000003
0,205.451,205.451,audio,32.23115288
0,0.37,0.37,audio,0.05804560000000001
8.178,205.451,197.273,audio,30.948188240000004
8.178,44.017,35.839,audio,5.62242232
71.539,205.451,133.91199999999998,audio,21.00811456

